id,job_name,short_info
                    ",企業名 株式会社Donuts 雇用形態 正社員 業務内容 【概要・業務内容】今回募集するテクニカ...,
97,,
                        【八王子】機械制御兼ソフトウェア技術者／組込系ソフトウェア開発において高い技術を有する同社なら、スキルアップが可能です！,,
                    ",［仕事内容］ 【職務概要】製造ライン等の画像処理／産業機械のGUI設計・開発／製造業向けIoTの...,
98,,
                        （東京）組み込みエンジニア 創業90年以上の溶着機の老舗トップクラスシェアメーカー,,
                    ",（東京）組み込みエンジニア 創業90年以上の溶着機の老舗トップクラスシェアメーカー ～創業から9...,
99,,
                        【ITエンジニア/「微」経験歓迎/フレックスタイム/リモートワークもOK】,,
                    ",株式会社エイチ・オー・ピー プロジェクトにより異なります ・東京（品川、大手町、豊洲など） ・神...,
100,,
                        整体師・セラピスト,,
                    ",業務委託 ・施術を中心としたサロン内業務全般。 ・店舗運営に於ける企画、開発などもお任せします。...,
101,,
                         大手外資系損害保険会社のＩＴソリューションデリバリー課長補佐,,
                    ",ITシステムデリバリー部のソリューションデリバリーチームの一員として、当社のCRMユーザ部門に対...,
102,,
                        FAE／サービスエンジニア(IT) IoTのプリセールス（技術営業）・ソリューションアーキテクト,,
                    ",IoTソリューションのプリセールスおよびソリューションアーキテクトをご担当いただきます。Bosc...,
103,,
                        【急募】化粧品の法人営業（韓国ブランド『ミシャ』）,,
                    ",【職種名】 【急募】化粧品の法人営業（韓国ブランド『ミシャ』） 【仕事内容】 自社ブランドの商品...,
104,,
                        年収450万以上／開発部のRuby on Railsエンジニアを募集！,,
                    ",【職種名】 開発部のRuby on Railsエンジニアを募集！ 【仕事内容】 【仕事概要】 I...,
105,,
                        【【フロントエンドエンジニア】ユーザに使いやすいI/Fを実現することによって、自動車技術をはじめとした産業シーンのイノベーションを支える】,,
                    ",株式会社 アプトポッド 新宿区四谷4-3 四谷トーセイビル3F/5F 東京都 ・自社開発製品『V...,
106,,
                        インフラエンジニア ,,
                    ",【業務内容】・インフラ全体のアーキテクチャ設計・ロボットを支えるバックエンドの開発・耐障害性が高...,
107,,
                        【【アプリケーションエンジニア（iOS/Android）】 ユーザに使いやすいI/Fを実現することによって、自動車技術・産業シーンのイノベーションを支える】,,
                    ",株式会社 アプトポッド 新宿区四谷4-3 四谷トーセイビル3F/5F 東京都 ・自社開発製品『V...,
108,,
                        【ゲーム】ツールプログラマー ※コンソール出身者歓迎,,
                    ",ゲーム開発で使うツール開発をご担当いただきます。 ツール開発を行う上では、エンジニア・デザイナー...,
109,,
                        プログラマ(オープン・WEB系),,
                    ",[仕事内容] Webを中心としたオープン系システム開発案件に携わっていただきます。 また中小企業...,
110,,
                         大手外資系損害保険会社の品質管理自動化技術者,,
                    ",職務の目的デリバリーエクセレンスチーム配下のシステムデリバリー品質管理チーム(SDQM)の一員と...,
111,,
                         【東京】IoTのプリセールス（技術営業）・ソリューションアーキテクト ／東証一部／外資系,,
                    ",【仕事内容】IoTソリューションのプリセールスおよびソリューションアーキテクトをご担当いただきま...,
112,,
                        C#エンジニア,,
                    ",【職種名】 C#エンジニア 【仕事内容】 【業務内容】 フルスタックエンジニアとして、システム全...,
113,,
                        IoTソリューション部門 営業 / プリセールス（ソリューションアーキテクト） 【ボッシュソフト～,,
                    ",IoTソリューション部門での募集となります。 「Bosch IoT Suite」と呼ばれるBos...,
114,,
                        年収550万以上／大手外資系損害保険会社の品質管理自動化技術者,,
                    ",【職種名】 大手外資系損害保険会社の品質管理自動化技術者 【仕事内容】 職務の目的 デリバリーエ...,
115,,
                        品質保証エンジニア,,
                    ",品質保証エンジニア ■業務内容：同社が開発する帳票、BI（BusinessIntelligenc...,
116,,
                        年収550万以上／大手外資系損害保険会社の品質管理自動化技術者,,
                    ",【職種名】 大手外資系損害保険会社の品質管理自動化技術者 【仕事内容】 職務の目的 デリバリーエ...,
117,,
                         ボッシュソフトウェアイノベーション IoTソリューションのプリセールスおよびソリューションアーキテクト,,
                    ",□募集ポジションについてIoTソリューションのプリセールスおよびソリューションアーキテクトをご担...,
118,,
                        【急募】化粧品の法人営業（韓国ブランド『ミシャ』）,,
                    ",【職種名】 【急募】化粧品の法人営業（韓国ブランド『ミシャ』） 【仕事内容】 自社ブランドの商品...,
119,,
                        年収500万以上／大手外資系損害保険会社のＩＴソリューションデリバリー課長補佐,,
                    ",【職種名】 大手外資系損害保険会社のＩＴソリューションデリバリー課長補佐 【仕事内容】 ITシス...,
120,,
